prompt_id,file_name,phase,area,module,bounded_context,mode,objective,estimated_scope_size,main_files_count,depends_on,can_run_in_parallel,risk_level,acceptance_summary
P-00-01,P-00-01-cancellation-token-identityaccess.md,Phase 00 Foundation,backend,identityaccess,Identity,REFACTOR,Add CancellationToken to all async methods in IdentityAccess module,MEDIUM,40,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-02,P-00-02-cancellation-token-catalog.md,Phase 00 Foundation,backend,catalog,Catalog,REFACTOR,Add CancellationToken to all async methods in Catalog module,LARGE,60,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-03,P-00-03-cancellation-token-changegovernance.md,Phase 00 Foundation,backend,changegovernance,Changes,REFACTOR,Add CancellationToken to all async methods in ChangeGovernance module,MEDIUM,45,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-04,P-00-04-cancellation-token-governance.md,Phase 00 Foundation,backend,governance,Governance,REFACTOR,Add CancellationToken to all async methods in Governance module,MEDIUM,35,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-05,P-00-05-cancellation-token-aiknowledge.md,Phase 00 Foundation,backend,aiknowledge,AI,REFACTOR,Add CancellationToken to all async methods in AIKnowledge module,MEDIUM,30,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-06,P-00-06-cancellation-token-remaining.md,Phase 00 Foundation,backend,all,Cross-cutting,REFACTOR,Add CancellationToken to remaining modules (OpIntel Audit Notifications Config Integrations Knowledge Analytics),MEDIUM,27,none,yes,LOW,All remaining async methods accept CancellationToken
P-00-07,P-00-07-migration-knowledge.md,Phase 00 Foundation,database,knowledge,Knowledge,IMPLEMENTATION,Create EF Core migration for Knowledge module DbContext,SMALL,5,none,yes,LOW,Migration creates all Knowledge tables successfully
P-00-08,P-00-08-migration-integrations.md,Phase 00 Foundation,database,integrations,Integrations,IMPLEMENTATION,Create EF Core migration for Integrations module DbContext,SMALL,5,none,yes,LOW,Migration creates all Integrations tables successfully
P-00-09,P-00-09-migration-productanalytics.md,Phase 00 Foundation,database,productanalytics,Analytics,IMPLEMENTATION,Create EF Core migration for ProductAnalytics module DbContext,SMALL,3,none,yes,LOW,Migration creates ProductAnalytics tables successfully
P-01-01,P-01-01-replace-issimulated-reliability.md,Phase 01 Critical,backend,operationalintelligence,Reliability,IMPLEMENTATION,Replace IsSimulated in ListServiceReliability Coverage Trend DomainSummary TeamSummary handlers with real DB queries,LARGE,13,P-00-06,no,HIGH,All reliability handlers return real data from DB
