path,file_type,area,module,bounded_context,purpose,status,product_alignment,evidence,risk,recommended_action,priority
src/modules/identityaccess/,backend,identityaccess,Identity,Identity lifecycle (21 entities; 40 handlers),READY,HIGH,185 files,LOW,KEEP,P1
src/modules/catalog/,backend,catalog,Catalog,Service & Contract governance (310 files),READY,HIGH,3 DbContexts,LOW,KEEP,P1
src/modules/changegovernance/,backend,changegovernance,Changes,Change intelligence & promotion (4 DbContexts),PARTIAL,HIGH,238 files needs telemetry,MEDIUM,COMPLETE,P2
src/modules/governance/,backend,governance,Governance,Reports/Risk/FinOps/Compliance (56 handlers),PARTIAL,HIGH,FinOps uses IsSimulated,MEDIUM,COMPLETE,P2
src/modules/aiknowledge/,backend,aiknowledge,AI,AI runtime/governance/orchestration (3 DbContexts),PARTIAL,HIGH,11 empty handlers,MEDIUM,COMPLETE,P2
src/modules/auditcompliance/,backend,auditcompliance,Audit,Audit chain/compliance (6 entities),PARTIAL,MEDIUM,17 handlers,LOW,COMPLETE,P3
src/modules/operationalintelligence/,backend,operationalintelligence,Operations,Runtime/Cost/Incidents/Reliability (5 DbContexts),PARTIAL,HIGH,13 handlers IsSimulated,HIGH,COMPLETE,P2
src/modules/notifications/,backend,notifications,Notifications,Notification lifecycle,READY,MEDIUM,124 files,LOW,KEEP,P1
src/modules/configuration/,backend,configuration,Configuration,Config/Feature flags,READY,MEDIUM,57 files,LOW,KEEP,P1
src/modules/integrations/,backend,integrations,Integrations,Connector/Ingestion structure,INCOMPLETE,MEDIUM,32 files no adapters,MEDIUM,COMPLETE,P3
src/modules/knowledge/,backend,knowledge,Knowledge,Knowledge hub (3 entities),INCOMPLETE,HIGH,no migration,HIGH,COMPLETE,P2
src/modules/productanalytics/,backend,productanalytics,Analytics,Usage analytics (1 entity),INCOMPLETE,LOW,23 files minimal,LOW,COMPLETE,P4
src/building-blocks/NexTraceOne.BuildingBlocks.Core/,building-block,core,Cross-cutting,Domain primitives,READY,HIGH,16 files,LOW,KEEP,P1
src/building-blocks/NexTraceOne.BuildingBlocks.Application/,building-block,application,Cross-cutting,CQRS/behaviors,READY,HIGH,31 files,LOW,KEEP,P1
src/building-blocks/NexTraceOne.BuildingBlocks.Infrastructure/,building-block,infrastructure,Cross-cutting,Persistence/outbox,READY,HIGH,12 files,LOW,KEEP,P1
src/building-blocks/NexTraceOne.BuildingBlocks.Security/,building-block,security,Cross-cutting,Auth/CSRF/encryption,READY,HIGH,17 files,LOW,KEEP,P1
src/building-blocks/NexTraceOne.BuildingBlocks.Observability/,building-block,observability,Cross-cutting,Telemetry/alerting,READY,HIGH,39 files,LOW,KEEP,P1
src/platform/NexTraceOne.ApiHost/,platform,apihost,Platform,Composition root,READY,HIGH,rate limiting/health,LOW,KEEP,P1
src/platform/NexTraceOne.BackgroundWorkers/,platform,workers,Platform,Quartz jobs,READY,HIGH,expiration handlers,LOW,KEEP,P1
src/platform/NexTraceOne.Ingestion.Api/,platform,ingestion,Platform,External ingestion,PARTIAL,MEDIUM,needs adapters,MEDIUM,COMPLETE,P3
src/frontend/src/features/identity-access/,frontend,identity-access,Identity,Auth pages (15+ files),READY,HIGH,login/MFA/tenants,LOW,KEEP,P1
src/frontend/src/features/catalog/,frontend,catalog,Catalog,Service catalog pages,READY,HIGH,real backend,LOW,KEEP,P1
src/frontend/src/features/contracts/,frontend,contracts,Contracts,Contract studio (30+ files),READY,HIGH,studio/drafts/review,LOW,KEEP,P1
src/frontend/src/features/change-governance/,frontend,change-governance,Changes,Releases/workflow pages,PARTIAL,HIGH,12 files,MEDIUM,COMPLETE,P2
src/frontend/src/features/governance/,frontend,governance,Governance,Executive/compliance/risk/finops,PARTIAL,HIGH,20+ files,MEDIUM,COMPLETE,P2
src/frontend/src/features/ai-hub/,frontend,ai-hub,AI,AI assistant/agents/models,PARTIAL,HIGH,15+ files,MEDIUM,COMPLETE,P2
src/frontend/src/features/operations/,frontend,operations,Operations,Incidents/runbooks/reliability,PARTIAL,HIGH,12 files,MEDIUM,COMPLETE,P2
src/frontend/src/features/integrations/,frontend,integrations,Integrations,Hub/connector pages,PARTIAL,MEDIUM,5 files,LOW,COMPLETE,P3
src/frontend/src/features/product-analytics/,frontend,product-analytics,Analytics,Usage analytics pages,PARTIAL,LOW,6 files mock data,LOW,COMPLETE,P4
