path,file_type,area,module,bounded_context,purpose,status,product_alignment,evidence,risk,recommended_action,priority
src/building-blocks/NexTraceOne.BuildingBlocks.Core/,csproj,building-blocks,Core,shared,Primitivos DDD: Entity/AggregateRoot/ValueObject/Result<T>/ITypedId/Guards,READY,HIGH,Verificado: AuditableEntity, ITypedId, Result<T> implementados,LOW,KEEP_AND_COMPLETE,P1
src/building-blocks/NexTraceOne.BuildingBlocks.Application/,csproj,building-blocks,Application,shared,CQRS: ICommand/IQuery/Behaviors MediatR/DistributedExecutionContext,READY,HIGH,Verificado: ValidationBehavior TenantIsolationBehavior,LOW,KEEP_AND_COMPLETE,P1
src/building-blocks/NexTraceOne.BuildingBlocks.Infrastructure/,csproj,building-blocks,Infrastructure,shared,Data access: UnitOfWork/NexTraceDbContextBase/Outbox/Interceptors,READY,HIGH,Verificado: TenantRlsInterceptor AuditInterceptor EncryptionInterceptor,LOW,KEEP_AND_COMPLETE,P1
src/building-blocks/NexTraceOne.BuildingBlocks.Security/,csproj,building-blocks,Security,shared,JWT/RBAC/encryption/rate-limiting/CSRF/tenant-isolation,PARTIAL,HIGH,Verificado: JwtTokenService AesGcmEncryptor - MAS credenciais hardcoded,CRITICAL,KEEP_AND_COMPLETE,P0
src/building-blocks/NexTraceOne.BuildingBlocks.Observability/,csproj,building-blocks,Observability,shared,OpenTelemetry setup Serilog metrics health-checks,PARTIAL,HIGH,Verificado: DI setup; correlacao negocio nao verificada,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/identityaccess/NexTraceOne.IdentityAccess.Domain/,csproj,modules,IdentityAccess,identityaccess,Entidades: User Role Permission Session Tenant BreakGlass JIT Delegation,READY,HIGH,Verificado: 17 entidades com factory methods strongly-typed IDs,LOW,KEEP_AND_COMPLETE,P1
src/modules/identityaccess/NexTraceOne.IdentityAccess.Application/,csproj,modules,IdentityAccess,identityaccess,CQRS handlers: auth login refresh MFA SSO tenant management,READY,HIGH,Verificado: handlers reais com CancellationToken e Result<T>,LOW,KEEP_AND_COMPLETE,P1
src/modules/identityaccess/NexTraceOne.IdentityAccess.Infrastructure/,csproj,modules,IdentityAccess,identityaccess,IdentityDbContext: 17 tabelas 43 indexes RLS migrations,READY,HIGH,Verificado: migration InitialCreate 20260325210113,LOW,KEEP_AND_COMPLETE,P1
src/modules/identityaccess/NexTraceOne.IdentityAccess.API/,csproj,modules,IdentityAccess,identityaccess,Endpoints: auth users roles sessions environments break-glass JIT delegations,READY,HIGH,Verificado: endpoints mapeados com permission checks,LOW,KEEP_AND_COMPLETE,P1
src/modules/identityaccess/NexTraceOne.IdentityAccess.Contracts/,csproj,modules,IdentityAccess,identityaccess,Contratos publicos do modulo para outros modulos,READY,HIGH,Verificado: interfaces de servico publicas,LOW,KEEP_AND_COMPLETE,P1
src/modules/catalog/NexTraceOne.Catalog.Domain/,csproj,modules,Catalog,catalog,Entidades: ApiAsset ServiceAsset ContractVersion CanonicalEntity GraphSnapshot,READY,HIGH,Verificado: entidades com factory methods e strongly-typed IDs,LOW,KEEP_AND_COMPLETE,P1
src/modules/catalog/NexTraceOne.Catalog.Application/,csproj,modules,Catalog,catalog,CQRS: catalog CRUD contract lifecycle graph operations,PARTIAL,HIGH,Verificado: handlers reais para catalog e contracts,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/catalog/NexTraceOne.Catalog.Infrastructure/,csproj,modules,Catalog,catalog,3 DbContexts: ContractsDbContext CatalogGraphDbContext DeveloperPortalDbContext,READY,HIGH,Verificado: migrations e configs EF Core reais,LOW,KEEP_AND_COMPLETE,P1
src/modules/catalog/NexTraceOne.Catalog.API/,csproj,modules,Catalog,catalog,Endpoints: ServiceCatalog Contracts SourceOfTruth DeveloperPortal,PARTIAL,HIGH,Verificado: endpoints mapeados com permission checks,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/catalog/NexTraceOne.Catalog.Contracts/,csproj,modules,Catalog,catalog,Contratos publicos: ICatalogGraphModule IContractsModule IDeveloperPortalModule,READY,HIGH,Verificado: interfaces de servico publicas,LOW,KEEP_AND_COMPLETE,P1
src/modules/changegovernance/NexTraceOne.ChangeGovernance.Domain/,csproj,modules,ChangeGovernance,changegovernance,Entidades: Release BlastRadius ChangeScore PromotionRequest EvidencePack RollbackAssessment,PARTIAL,HIGH,Verificado: 23 entidades em 4 subdomains,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/changegovernance/NexTraceOne.ChangeGovernance.Application/,csproj,modules,ChangeGovernance,changegovernance,CQRS: change lifecycle promotion workflow intelligence scoring,PARTIAL,HIGH,Verificado: handlers reais para ChangeIntelligence e Promotion,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/changegovernance/NexTraceOne.ChangeGovernance.Infrastructure/,csproj,modules,ChangeGovernance,changegovernance,4 DbContexts: ChangeIntelligence Promotion RulesetGovernance Workflow,READY,HIGH,Verificado: migrations e configs reais,LOW,KEEP_AND_COMPLETE,P1
src/modules/changegovernance/NexTraceOne.ChangeGovernance.API/,csproj,modules,ChangeGovernance,changegovernance,Endpoints: releases changes promotion workflow governance,PARTIAL,HIGH,Verificado: endpoints mapeados,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/operationalintelligence/NexTraceOne.OperationalIntelligence.Domain/,csproj,modules,OperationalIntelligence,operationalintelligence,Entidades: IncidentRecord MitigationWorkflow AutomationWorkflow RuntimeSnapshot CostSnapshot,PARTIAL,HIGH,Verificado: 18 entidades em 5 subdomains,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/operationalintelligence/NexTraceOne.OperationalIntelligence.Application/,csproj,modules,OperationalIntelligence,operationalintelligence,CQRS: incidents reliability cost automation runtime,PARTIAL,HIGH,Verificado: handlers de incidents reais; outros parciais,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/operationalintelligence/NexTraceOne.OperationalIntelligence.Infrastructure/,csproj,modules,OperationalIntelligence,operationalintelligence,5 DbContexts: Incidents Automation Reliability Runtime Cost,PARTIAL,HIGH,Verificado: migrations existentes,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/aiknowledge/NexTraceOne.AIKnowledge.Domain/,csproj,modules,AIKnowledge,aiknowledge,Entidades: AIModel AiAgent AIAccessPolicy AIBudget AIUsageEntry AiAssistantConversation,PARTIAL,HIGH,Verificado: 27 entidades; Governance real; ExternalAI e Orchestration stubs,HIGH,KEEP_AND_COMPLETE,P1
src/modules/aiknowledge/NexTraceOne.AIKnowledge.Application/,csproj,modules,AIKnowledge,aiknowledge,CQRS: Governance 24/28 real; ExternalAI 1/8; Orchestration 0/8,PARTIAL,HIGH,Verificado: handlers Governance reais; ExternalAI/Orchestration TODO,HIGH,KEEP_AND_COMPLETE,P1
src/modules/aiknowledge/NexTraceOne.AIKnowledge.Infrastructure/,csproj,modules,AIKnowledge,aiknowledge,3 DbContexts: Governance(real) Orchestration(parcial) ExternalAI(0 DbSets),PARTIAL,HIGH,Verificado: AiGovernanceDbContext com 19 DbSets; ExternalAiDbContext TODO,HIGH,KEEP_AND_COMPLETE,P1
src/modules/aiknowledge/NexTraceOne.AIKnowledge.API/,csproj,modules,AIKnowledge,aiknowledge,Endpoints: Governance(27+); ExternalAI TODO; Orchestration TODO,PARTIAL,HIGH,Verificado: endpoints Governance reais,HIGH,KEEP_AND_COMPLETE,P1
src/modules/governance/NexTraceOne.Governance.Domain/,csproj,modules,Governance,governance,Entidades: Team GovernanceDomain GovernancePack Waiver DelegatedAdmin + 4 temporarias,PARTIAL,HIGH,Verificado: 12 entidades; 4 temporarias de outros modulos,MEDIUM,KEEP_AND_COMPLETE,P1
src/modules/governance/NexTraceOne.Governance.Infrastructure/,csproj,modules,Governance,governance,GovernanceDbContext com 12 entidades (8 core + 4 temp),PARTIAL,HIGH,Verificado: DbContext com entidades temporarias identificadas,MEDIUM,CONSOLIDATE_CANDIDATE,P2
src/modules/auditcompliance/NexTraceOne.AuditCompliance.Domain/,csproj,modules,AuditCompliance,auditcompliance,Entidades: AuditEvent AuditChainLink RetentionPolicy CompliancePolicy AuditCampaign,PARTIAL,HIGH,Verificado: 6 entidades com hash chain,MEDIUM,KEEP_AND_COMPLETE,P2
src/modules/auditcompliance/NexTraceOne.AuditCompliance.Infrastructure/,csproj,modules,AuditCompliance,auditcompliance,AuditDbContext com 6 tabelas aud_*,PARTIAL,HIGH,Verificado: migration e configs EF Core,MEDIUM,KEEP_AND_COMPLETE,P2
src/modules/notifications/NexTraceOne.Notifications.Domain/,csproj,modules,Notifications,notifications,Entidades: Notification NotificationDelivery NotificationPreference,INCOMPLETE,MEDIUM,Verificado: apenas 3 entidades; sem templates ou canais ricos,HIGH,KEEP_AND_COMPLETE,P3
src/modules/configuration/NexTraceOne.Configuration.Domain/,csproj,modules,Configuration,configuration,Entidades: ConfigurationDefinition ConfigurationEntry ConfigurationAuditEntry,INCOMPLETE,MEDIUM,Verificado: apenas 3 entidades para parametrizacao enterprise,HIGH,KEEP_AND_COMPLETE,P2
src/platform/NexTraceOne.ApiHost/,csproj,platform,ApiHost,platform,Host ASP.NET Core 10: DI rate-limiting JWT CORS health-checks middleware pipeline,PARTIAL,HIGH,Verificado: Program.cs com middleware pipeline completo,CRITICAL,KEEP_AND_COMPLETE,P0
src/platform/NexTraceOne.BackgroundWorkers/,csproj,platform,BackgroundWorkers,platform,Workers Quartz: jobs de manutencao outbox processing scheduled tasks,PARTIAL,HIGH,Nao verificado em detalhe,MEDIUM,KEEP_AND_COMPLETE,P2
src/platform/NexTraceOne.Ingestion.Api/,csproj,platform,IngestionApi,platform,API separada para ingestao de telemetria OpenTelemetry,PARTIAL,HIGH,Nao verificado em detalhe; existe como projecto separado,MEDIUM,KEEP_AND_COMPLETE,P2
tools/NexTraceOne.CLI/,csproj,tools,CLI,platform,CLI .NET com System.CommandLine e Spectre.Console para operacoes,PARTIAL,MEDIUM,Existe como projecto; comandos nao verificados em detalhe,MEDIUM,KEEP_AND_COMPLETE,P3
src/frontend/src/App.tsx,typescript,frontend,Shell,frontend,Root component com routing React Router DOM 7.13.1,READY,HIGH,Verificado: rotas lazy loading com ProtectedRoute,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/auth/permissions.ts,typescript,frontend,Auth,frontend,118+ permissoes granulares para RBAC,READY,HIGH,Verificado: definicoes de permissao por dominio,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/auth/persona.ts,typescript,frontend,Auth,frontend,7 personas oficiais com config de sidebar quickactions AI,READY,HIGH,Verificado: Engineer TechLead Architect Product Executive PlatformAdmin Auditor,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/contexts/AuthContext.tsx,typescript,frontend,Auth,frontend,Gestao de sessao: tokens CSRF refresh tenant environment,READY,HIGH,Verificado: sessionStorage Bearer interceptor refresh flow,LOW,KEEP_AND_COMPLETE,P1
