path,component_name,category,pages_using_it,purpose,visual_consistency,functional_consistency,accessibility_notes,design_system_alignment,reuse_score,status,recommended_action
src/components/Button.tsx,Button,base-ui,"Todas as páginas com ações (Login, Dashboard, Modals, Forms)","Botão primário/secundário/danger/ghost/subtle com loading e disabled","Excelente","Excelente","focus-visible:ring implementado; role=button implícito","Excelente — usa tokens CTA gradient e border-edge","10","good","keep_and_expand — adicionar variante icon-only e link"
src/components/Badge.tsx,Badge,base-ui,"ServiceDetailPage, IncidentDetailPage, ExecutiveOverviewPage, DashboardPage, ContractCatalogPage","Badge semântico para status, criticidade, risco, lifecycle","Bom","Bom","Sem aria-label quando usado com ícone; sem role=status","Bom — usa tokens success/warning/danger/info com opacity","9","inconsistent","refactor — remover variante neutral (duplicata de default); adicionar prop icon; adicionar tamanho sm"
src/components/Card.tsx,Card,layout,"Praticamente todas as páginas","Container de conteúdo com CardHeader/CardBody/CardFooter","Bom","Bom","Sem role=region ou aria-label por padrão","Médio — rounded-lg usa Tailwind 8px em vez de --radius-lg (18px)","10","inconsistent","refactor — alinhar border-radius ao token do design system; adicionar variante clicável"
src/components/StatCard.tsx,StatCard,data-display,"DashboardPage, ExecutiveOverviewPage","KPI metric card com título, valor e trend","Bom","Médio","Números sem role ou aria-label contextual","Bom — usa bg-card, border-edge, shadow-surface","7","weak","refactor — substituir ASCII trend (↑↓) por ícones Lucide; adicionar clicabilidade; adicionar aria-label no valor"
src/components/Button.tsx (IconButton),IconButton,base-ui,"AppSidebar, AppTopbar, FilterBar","Botão com ícone apenas (sem texto)","Bom","Bom","aria-label obrigatório — verificar se sempre presente","Bom","7","good","keep — verificar aria-label consistency"
src/components/Badge.tsx → inline em ServiceDetailPage,criticalityColors (inline),cosmetic_only,"ServiceDetailPage apenas","Badges de criticidade via mapa de classe inline","Fraco — incompatível com Badge component","N/A — duplica lógica do Badge","Nenhuma","Nenhuma — usa cores Tailwind hardcoded (bg-red-900/40 etc.)","1","replace","replace — substituir por Badge component com variantes corretas; eliminar todos os 4 mapas de cor inline"
src/components/TextField.tsx,TextField,form,"LoginPage, ForgotPasswordPage, InvitationPage, UsersPage, ConfigurationAdminPage","Campo de texto controlado com label, error, hint","Bom","Bom","label associado via id/htmlFor; error com role=alert implícito","Bom — usa inputBaseClass de foundations.ts","8","good","keep"
src/components/TextArea.tsx,TextArea,form,"ContractWorkspacePage, NotificationPreferencesPage","Campo de texto multi-linha","Bom","Bom","Idem TextField","Bom","6","good","keep"
src/components/PasswordInput.tsx,PasswordInput,form,"LoginPage, ResetPasswordPage, ActivationPage","Campo de senha com toggle show/hide","Bom","Bom","toggle precisa de aria-label para leitores de ecrã","Bom","5","good","keep"
src/components/Select.tsx,Select,form,"UsersPage, ConfigurationAdminPage, NotificationPreferencesPage, EnvironmentsPage","Dropdown select nativo ou custom","Desconhecido sem leitura completa","Bom","Verificar se usa <select> nativo ou custom div (impacto em acessibilidade)","A verificar","6","good","keep — verificar implementação acessível"
src/components/Checkbox.tsx,Checkbox,form,"UsersPage, AccessReviewPage","Input checkbox","Bom","Bom","label associado necessário","Bom","5","good","keep"
src/components/Radio.tsx,Radio,form,"NotificationPreferencesPage, BreakGlassPage","Grupo de radio buttons","Bom","Bom","Verificar uso de <fieldset><legend>","Bom","4","good","keep"
src/components/Toggle.tsx,Toggle,form,"NotificationPreferencesPage, ConfigurationAdminPage, AiPoliciesPage","Switch booleano (toggle)","Bom","Bom","Precisa de aria-checked e role=switch","A verificar","5","good","keep — verificar aria-checked"
src/components/Modal.tsx,Modal,overlay,"ContractWorkspacePage, UsersPage, BreakGlassPage, AccessReviewPage","Dialog overlay usando <dialog> nativo","Excelente","Excelente","<dialog> nativo com semântica correta; focus trap implícito","Excelente","7","good","keep_and_expand"
src/components/Drawer.tsx,Drawer,overlay,"ContractWorkspacePage, IntegrationHubPage","Painel lateral deslizante","Bom","Bom","Verificar focus trap e aria-modal","Bom","5","good","keep"
src/components/Tabs.tsx,Tabs,navigation,"ContractWorkspacePage, ServiceCatalogPage, AiHubPages","Tabbed interface (underline ou pill variants)","Bom","Bom","Verificar aria-tablist, aria-tab, aria-tabpanel","Bom","6","good","keep"
src/components/EmptyState.tsx,EmptyState,feedback,"DashboardPage, ServiceCatalogListPage, ContractCatalogPage, RunbooksPage","Estado vazio com ícone, título, descrição e ação","Bom","Bom","Adequado","Bom — usa tokens de texto","8","good","keep_and_expand — adicionar variante ilustrada para empty states principais"
src/components/ErrorState.tsx,ErrorState,feedback,"ContractWorkspacePage, IntegrationHubPage","Estado de erro inline","Bom","Bom","role=alert necessário verificar","Bom","6","good","keep"
src/components/PageLoadingState.tsx,PageLoadingState,feedback,"ServiceDetailPage, IncidentDetailPage, ReleasesPage","Loading state a nível de página","Bom","Bom","Verificar anúncio para leitores de ecrã (aria-live)","Bom","8","good","keep"
src/components/PageErrorState.tsx,PageErrorState,feedback,"ServiceDetailPage, IncidentDetailPage, ExecutiveOverviewPage","Erro a nível de página com ação","Bom","Bom","Verificar role=alert","Bom","7","good","keep"
src/components/Skeleton.tsx,Skeleton,feedback,"DashboardPage, ServiceCatalogListPage, ContractCatalogPage, IncidentDetailPage","Placeholder de loading com shimmer","Excelente","Excelente","aria-hidden necessário em skeletons","Excelente — usa --color-elevated e shimmer do design system","9","good","keep"
src/components/SearchInput.tsx,SearchInput,form,"GlobalSearchPage, AppTopbarSearch","Campo de busca com ícone","Bom","Bom","Verificar role=search e aria-label","Bom","6","good","keep"
src/components/FilterChip.tsx,FilterChip,filter,"ContractCatalogPage, ServiceCatalogListPage","Chip de filtro ativo com dismiss","Bom","Bom","Verificar role=button com aria-label de dismiss","Bom","5","good","keep"
src/components/Tooltip.tsx,Tooltip,overlay,"AppSidebarItem (collapsed), AppTopbarActions","Tooltip ao hover","Bom","Bom","Verificar aria-describedby","Bom","5","good","keep"
src/components/CommandPalette.tsx,CommandPalette,navigation,"AppShell (global, Cmd+K)","Paleta de comandos e busca global","Bom (estimado)","Bom (estimado)","Verificar trap de foco e role=combobox ou dialog","A verificar","8","good","keep_and_expand — adicionar ações operacionais (criar incidente, criar serviço, etc.)"
src/components/InlineMessage.tsx,InlineMessage,feedback,"Formulários, ConfigurationAdminPage","Mensagem inline de alerta/info/success","Bom","Bom","role=alert ou aria-live necessário","Bom","5","good","keep"
src/components/Divider.tsx,Divider,layout,"ContractWorkspacePage, AppSidebar","Separador visual horizontal","Bom","Bom","role=separator adequado","Bom","4","good","keep"
src/components/PageHeader.tsx,PageHeader,layout,"ExecutiveOverviewPage, AuditPage, TeamsOverviewPage","Cabeçalho de página com título e subtítulo","Bom","Bom","Verificar uso de <h1>","Bom","5","inconsistent","refactor — expandir para suportar ações (quick actions), badges e breadcrumbs — tornar EntityHeader"
src/components/HomeWidgetCard.tsx,HomeWidgetCard,dashboard,"DashboardPage","Widget do dashboard por persona","Médio","Médio","Verificar heading level dentro do card","Médio — estrutura genérica","4","weak","refactor — tornar mais específico ao tipo de widget; adicionar suporte a dados reais inline"
src/components/QuickActions.tsx,QuickActions,navigation,"DashboardPage","Atalhos de ação rápida adaptados à persona","Bom","Bom","Verificar role e aria-label de cada botão","Bom","4","good","keep"
src/components/PersonaQuickstart.tsx,PersonaQuickstart,onboarding,"DashboardPage","Guia de quickstart por persona","Bom","Bom","Verificar heading structure","Bom","2","good","keep — adicionar condição de dismiss persistente"
src/components/Breadcrumbs.tsx,Breadcrumbs,navigation,"Poucas páginas (não integrado no shell)","Breadcrumbs de navegação","Bom","Bom","<nav aria-label='breadcrumb'> e <ol> necessários","Bom","3","orphan","keep_and_expand — integrar no AppContentFrame para uso global"
