id,area,module,bounded_context,problem_title,problem_description,severity,status_classification,product_impact,technical_impact,evidence,recommended_strategy,split_into_how_many_prompts,dependencies
PROB-001,backend,all,cross-cutting,237 async methods missing CancellationToken,Async methods across all modules lack CancellationToken parameter preventing graceful shutdown and request cancellation,MEDIUM,REFACTOR_CANDIDATE,LOW,Graceful shutdown affected,grep count 237,Add CancellationToken per module,6,none
PROB-002,database,knowledge,Knowledge,No EF migration for Knowledge module,KnowledgeDbContext has 3 entities but no migration files so tables will not be created on deployment,HIGH,INCOMPLETE,Source of Truth gap,Tables won't be created,src/modules/knowledge/Infrastructure/Persistence/,Create migration,1,none
PROB-003,database,integrations,Integrations,No EF migration for Integrations module,IntegrationsDbContext has entities but no migration files preventing table creation,HIGH,INCOMPLETE,Integrations gap,Tables won't be created,src/modules/integrations/Infrastructure/Persistence/,Create migration,1,none
PROB-004,database,productanalytics,Analytics,No EF migration for ProductAnalytics,ProductAnalyticsDbContext has 1 entity but no explicit migration files,MEDIUM,INCOMPLETE,Analytics gap,Table may not be created,src/modules/productanalytics/Infrastructure/Persistence/,Create migration,1,none
PROB-005,backend,operationalintelligence,Reliability,13 handlers use IsSimulated data,ListServiceReliability Coverage Trend DomainSummary TeamSummary and automation handlers return simulated data instead of real operational metrics,HIGH,MOCK,Reliability data is fake,No real operational data,D-005 to D-023 in whitelist,Replace with real queries,3,none
PROB-006,backend,governance,FinOps,FinOps handlers use simulated data,GetServiceFinOps GetTeamFinOps GetDomainFinOps GetFinOpsTrends GetFinOpsSummary use computed/simulated data not real cost data,HIGH,MOCK,FinOps is cosmetic,No real cost data,D-005 to D-023 in whitelist,Replace with real queries,2,PROB-005
PROB-007,backend,aiknowledge,ExternalAI,6 ExternalAI handlers are empty,CaptureResponse ConfigurePolicy ApproveKnowledge ReuseKnowledge GetUsage ListCaptures are stubs returning empty results,HIGH,STUB,AI governance incomplete,No real external AI capture,D-024 to D-029 in whitelist,Implement handlers,2,none
PROB-008,backend,aiknowledge,Orchestration,5 Orchestration handlers are empty,GenerateRobotFramework ValidateKnowledge GenerateTestScenarios GetConversationHistory SummarizeRelease are stubs,MEDIUM,STUB,AI orchestration incomplete,No real AI orchestration features,D-046 in whitelist,Implement handlers,2,PROB-007
PROB-009,backend,governance,Governance,8 handlers have TODO comments,GetGovernancePack ListGovernancePacks and others have partial implementations with TODO markers,MEDIUM,PARTIAL,Governance features incomplete,Handlers partially implemented,D-039 D-040 D-047 in whitelist,Complete handlers,2,none
PROB-010,frontend,operations,Operations,3 operations pages use mock data,TeamReliabilityPage ServiceReliabilityDetailPage PlatformOperationsPage have hardcoded frontend mock arrays,HIGH,MOCK,Operations UI is cosmetic,No real backend data displayed,D-030 to D-032 in whitelist,Connect to real backend,2,PROB-005
PROB-011,frontend,product-analytics,Analytics,3 analytics pages use mock data,PersonaUsagePage ValueTrackingPage JourneyFunnelPage have frontend mocks instead of API calls,MEDIUM,MOCK,Analytics UI is cosmetic,No real analytics data,D-033 to D-035 in whitelist,Connect to real backend,1,PROB-004
PROB-012,backend,integrations,Integrations,No real provider adapters,IntegrationConnector entity exists but no GitLab/Jenkins/GitHub/AzDevOps adapters implemented,HIGH,INCOMPLETE,Integrations non-functional,Cannot ingest from real sources,src/modules/integrations/,Implement adapters,3,PROB-003
PROB-013,backend,knowledge,Knowledge,Knowledge module is very new,Only 3 entities 5 handlers no FTS search no update/delete capabilities,HIGH,INCOMPLETE,Knowledge Hub minimal,Cannot search or manage knowledge effectively,src/modules/knowledge/,Complete CRUD and FTS,2,PROB-002
PROB-014,backend,aiknowledge,Runtime,AI grounding retrieval is basic,DatabaseRetrievalService only searches AIModels not cross-module entities like services contracts or changes,MEDIUM,PARTIAL,AI context is limited,AI cannot access full product context,P9.5 gap report,Expand retrieval,2,none
PROB-015,frontend,governance,FinOps,6 FinOps pages show DemoBanner,ExecutiveFinOps ServiceFinOps TeamFinOps DomainFinOps pages use demo data with visible demo banners,HIGH,COSMETIC_ONLY,FinOps is not real,Users see demo banners,D-030 to D-035 whitelist,Replace with real data,2,PROB-006
PROB-016,architecture,productanalytics,Analytics,Missing Contracts project,ProductAnalytics has 4 layers but no Contracts project unlike other modules,LOW,INCOMPLETE,Inconsistent architecture,Cannot define cross-module contracts,comparison with other modules,Add Contracts project,1,none
PROB-017,architecture,all,cross-cutting,TrendDirection enum duplicated,TrendDirection exists in both Governance and OperationalIntelligence domains causing potential mapping issues,LOW,DUPLICATE,Enum inconsistency,Possible mapping issues,P8.5 gap report,Consolidate enum,1,none
